County,LSOA,gini
GREATER LONDON,E01000131,0.1554680667412851
GREATER LONDON,E01000132,0.06804123711340206
GREATER LONDON,E01000133,0.09944930768922922
GREATER LONDON,E01000134,0.17963453218828696
GREATER LONDON,E01000135,0.25029666548000473
GREATER LONDON,E01000136,0.33890215344054236
GREATER LONDON,E01000137,0.2875413206482303
GREATER LONDON,E01000138,0.30774897032343906
GREATER LONDON,E01000139,0.478469898977937
GREATER LONDON,E01000140,0.2773674692960469
GREATER LONDON,E01000141,0.6700642537007928
GREATER LONDON,E01000142,0.27432663910218547
GREATER LONDON,E01000143,0.19328355532116415
GREATER LONDON,E01000144,0.5500871309730173
GREATER LONDON,E01000145,0.2213542878070059
GREATER LONDON,E01000146,0.3674684571844017
GREATER LONDON,E01000147,0.08302994383766546
