StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept,StopCount_z,EthnicMinority_z,MeanHousePrice_z,CrimeSum_z,DrugCrimeSum_z,IncomeDomainScore_z,gini
28.0,15.0,E01004422,Waltham Forest,2649,53.38,0.152,255.0,15.0,490422.0,London,-0.054,0.438,-0.384,0.208,0.484,0.226,0.198624654459182
66.0,54.0,E01004423,Waltham Forest,2099,59.46,0.181,118.0,9.0,469279.0,London,0.436,0.763,-0.426,-0.264,0.117,0.622,0.2594891056886029
97.0,61.0,E01004424,Waltham Forest,2120,68.82,0.218,390.0,15.0,443401.0,London,0.835,1.263,-0.479,0.673,0.484,1.127,0.649951600893522
45.0,23.0,E01004425,Waltham Forest,1992,48.49,0.189,197.0,3.0,434763.0,London,0.165,0.176,-0.496,0.008,-0.251,0.731,0.1484509674057699
6.0,3.0,E01004426,Waltham Forest,1834,63.63,0.14,182.0,7.0,570915.0,London,-0.338,0.986,-0.221,-0.044,-0.006,0.062,0.1850668393369087
0.0,0.0,E01004597,Wandsworth,1888,26.43,0.092,75.0,0.0,956035.0,London,-0.415,-1.003,0.558,-0.412,-0.435,-0.593,0.2297812335799906
13.0,11.0,E01004598,Wandsworth,2144,17.96,0.043,61.0,1.0,690900.0,London,-0.248,-1.456,0.022,-0.46,-0.373,-1.262,0.1734082170917718
2.0,2.0,E01004599,Wandsworth,1566,16.09,0.03,36.0,1.0,1120665.0,London,-0.389,-1.556,0.891,-0.546,-0.373,-1.44,0.1690966986769833
33.0,21.0,E01004601,Wandsworth,2464,32.22,0.125,151.0,4.0,645231.0,London,0.01,-0.693,-0.07,-0.15,-0.19,-0.143,0.2390177597503194
2.0,1.0,E01004602,Wandsworth,1644,16.36,0.03,138.0,1.0,1093963.0,London,-0.389,-1.541,0.837,-0.195,-0.373,-1.44,0.3165642980644856
13.0,8.0,E01004604,Wandsworth,1562,12.61,0.015,118.0,3.0,1881357.0,London,-0.248,-1.742,2.43,-0.264,-0.251,-1.645,0.3311356534236555
19.0,18.0,E01004605,Wandsworth,1820,20.49,0.099,132.0,10.0,1085384.0,London,-0.17,-1.32,0.82,-0.216,0.178,-0.498,0.301517907120234
1.0,1.0,E01004606,Wandsworth,1673,10.88,0.019,99.0,7.0,1013517.0,London,-0.402,-1.834,0.675,-0.329,-0.006,-1.59,0.2758994071387667
2.0,1.0,E01004607,Wandsworth,1629,14.3,0.028,62.0,1.0,1272040.0,London,-0.389,-1.651,1.198,-0.457,-0.373,-1.467,0.3419023667991307
2.0,0.0,E01004608,Wandsworth,1670,20.66,0.098,196.0,2.0,872478.0,London,-0.389,-1.311,0.389,0.005,-0.312,-0.511,0.2188687297488202
