StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept
3.0,2.0,E01003178,Lambeth,1504,29.52,0.092,106.0,6.0,823499.0,London
13.0,5.0,E01003417,Merton,1590,20.75,0.05,78.0,4.0,482200.0,London
12.0,2.0,E01003350,Lewisham,1323,63.19,0.215,116.0,4.0,429448.0,London
21.0,6.0,E01003280,Lewisham,1647,54.58,0.182,161.0,2.0,435443.0,London
5.0,1.0,E01003179,Lambeth,1616,69.43,0.251,57.0,1.0,333602.0,London
,,E01003418,Merton,1443,21.41,0.034,44.0,,506772.0,London
39.0,24.0,E01003351,Lewisham,1690,50.41,0.228,167.0,5.0,366214.0,London
23.0,13.0,E01003281,Lewisham,1498,33.24,0.082,97.0,2.0,597883.0,London
36.0,6.0,E01003180,Lambeth,1601,51.09,0.145,181.0,5.0,716958.0,London
1.0,0.0,E01003419,Merton,1821,30.31,0.062,94.0,2.0,433917.0,London
10.0,3.0,E01003352,Lewisham,2290,61.31,0.214,252.0,10.0,480790.0,London
34.0,18.0,E01003282,Lewisham,2414,38.19,0.134,183.0,13.0,512360.0,London
18.0,7.0,E01003181,Lambeth,1520,54.47,0.254,116.0,4.0,474864.0,London
,,E01003420,Merton,1480,30.27,0.06,61.0,1.0,451827.0,London
4.0,2.0,E01003353,Lewisham,1787,58.14,0.131,211.0,12.0,450708.0,London
18.0,10.0,E01003283,Lewisham,2127,23.37,0.052,188.0,8.0,832414.0,London
19.0,13.0,E01003182,Lambeth,1783,46.72,0.164,258.0,16.0,650551.0,London
7.0,4.0,E01003421,Merton,1593,30.13,0.084,65.0,,456517.0,London
8.0,6.0,E01003354,Lewisham,2057,64.71,0.13,156.0,5.0,327583.0,London
21.0,14.0,E01003284,Lewisham,1877,35.96,0.111,240.0,4.0,658619.0,London
58.0,23.0,E01003183,Lambeth,1606,59.96,0.187,189.0,10.0,657128.0,London
28.0,21.0,E01003422,Merton,1466,30.83,0.059,108.0,1.0,494277.0,London
3.0,0.0,E01032564,Lewisham,1300,50.0,0.275,194.0,,344556.0,London
5.0,3.0,E01003285,Lewisham,1755,38.92,0.084,165.0,3.0,464452.0,London
2.0,1.0,E01003184,Lambeth,1423,61.91,0.252,114.0,7.0,398534.0,London
6.0,4.0,E01003423,Merton,1641,27.06,0.041,106.0,6.0,757347.0,London
16.0,8.0,E01032565,Lewisham,1452,48.62,0.222,140.0,6.0,391997.0,London
6.0,3.0,E01003286,Lewisham,1737,48.42,0.214,213.0,12.0,412564.0,London
21.0,7.0,E01003185,Lambeth,1930,48.76,0.177,174.0,10.0,550948.0,London
2.0,1.0,E01003424,Merton,1535,19.93,0.025,68.0,,1032803.0,London
10.0,7.0,E01032579,Lewisham,2158,55.84,0.218,331.0,21.0,371727.0,London
7.0,3.0,E01003287,Lewisham,1970,26.09,0.072,57.0,1.0,781137.0,London
42.0,22.0,E01003186,Lambeth,2438,37.0,0.109,411.0,30.0,629070.0,London
1.0,1.0,E01003425,Merton,1489,27.6,0.029,50.0,2.0,967500.0,London
23.0,14.0,E01033320,Lewisham,1565,48.37,0.125,143.0,6.0,497521.0,London
12.0,7.0,E01003288,Lewisham,2161,55.53,0.206,299.0,18.0,411731.0,London
